epoch,accuracy,loss,val_accuracy,val_loss
0,0.49347827,1.0998312452565069,0.7652173638343811,0.8416995794876762
1,0.72282606,0.7319193793379742,0.8304347991943359,0.5968513654625934
2,0.8141304,0.573377732090328,0.8695651888847351,0.4701465147992839
3,0.8532609,0.47641040967858356,0.8826087117195129,0.39760762751102446
4,0.86630434,0.4149524857168612,0.908695638179779,0.3452355067367139
5,0.8913044,0.36231996520705845,0.895652174949646,0.31774401133475094
6,0.90869564,0.3226460946642834,0.908695638179779,0.2880784689084343
7,0.91847825,0.2949017195597939,0.895652174949646,0.28430664759615193
8,0.93043476,0.24885562295499056,0.9130434989929199,0.24220440394204595
9,0.9358696,0.23249201230380845,0.9217391014099121,0.2377075315169666
10,0.94891304,0.20589067249194434,0.917391300201416,0.2214352437335512
11,0.9391304,0.1997824469986169,0.9217391014099121,0.2219200833660105
12,0.9521739,0.18979693262473396,0.8913043737411499,0.28113413796476694
13,0.96413046,0.1506816078139388,0.939130425453186,0.18521569481362468
14,0.95434785,0.15004118392648905,0.9304347634315491,0.18310609223402063
15,0.9652174,0.13701317012310027,0.9347826242446899,0.18554955694986427
16,0.975,0.12974504569302434,0.917391300201416,0.17686112205619398
17,0.97282606,0.11104613008058589,0.947826087474823,0.1593537065969861
18,0.97065216,0.11648996993899345,0.926086962223053,0.19767912393030912
19,0.9793478,0.09577933854382971,0.9217391014099121,0.16854956880535768
20,0.9695652,0.09902255901175996,0.9304347634315491,0.16610933422394422
21,0.9804348,0.08485395007807275,0.939130425453186,0.15060866620877514
22,0.9804348,0.0782927367836237,0.9521738886833191,0.15056034846474295
23,0.99130434,0.0639071770336317,0.9434782862663269,0.14080643365564555
24,0.98695654,0.06376187791642936,0.947826087474823,0.14382504801387372
25,0.9836956,0.06371455897131692,0.9347826242446899,0.17515980931727781
26,0.99347824,0.04871777718805748,0.939130425453186,0.136438359271573
27,0.99130434,0.04512754945975283,0.9347826242446899,0.1448473596540482
28,0.9902174,0.04818087073609881,0.9434782862663269,0.13259053771262583
29,0.9945652,0.04320360060133364,0.939130425453186,0.13276212218662967
30,0.99130434,0.044800246458338654,0.939130425453186,0.13535209524080805
31,0.9956522,0.03611329408443492,0.9434782862663269,0.1288840334214594
32,0.9945652,0.034182054808606276,0.9347826242446899,0.14199721613170013
33,0.9956522,0.031717537250369784,0.9434782862663269,0.16754271243901356
34,0.9923913,0.03552707675034585,0.947826087474823,0.15915734897489134
35,0.99673915,0.02782332610905818,0.9434782862663269,0.1356536933504369
36,0.99891305,0.024546124446003334,0.939130425453186,0.1398279481364981
0,0.6043478,0.9116454487261565,0.791304349899292,0.6774075549581776
1,0.83152175,0.4894815473452858,0.865217387676239,0.42961311029351273
2,0.9032609,0.29570851999780406,0.908695638179779,0.3102071505525838
3,0.93043476,0.2026034651891045,0.895652174949646,0.288435915760372
4,0.9554348,0.14062675930883572,0.9217391014099121,0.2361446403938791
5,0.97282606,0.10478816252687703,0.9130434989929199,0.2448412166989368
6,0.975,0.0794737471834473,0.926086962223053,0.20012898458086925
7,0.9826087,0.061637401354053746,0.9434782862663269,0.20440819211628125
8,0.9923913,0.03954479138002447,0.9434782862663269,0.2056141371312349
9,0.9978261,0.02696178473289246,0.947826087474823,0.1874032912047013
10,0.99673915,0.02367335177310135,0.95652174949646,0.18114370185395945
11,0.99673915,0.020604428292616554,0.9434782862663269,0.18001642771389173
12,1.0,0.01248423033596381,0.95652174949646,0.1673139919405398
13,1.0,0.010048760528392766,0.95652174949646,0.17927864064341006
14,1.0,0.00895716657700098,0.926086962223053,0.24233717996141185
15,1.0,0.006516610365360975,0.9521738886833191,0.17056832838317623
16,1.0,0.004859294240241466,0.95652174949646,0.19229732162278632
17,1.0,0.0036352492433608225,0.947826087474823,0.18066417652627695
0,0.5826087,0.9485314887502919,0.7652173638343811,0.7092225152513255
1,0.775,0.6005133779152579,0.813043475151062,0.579528986889383
2,0.83913046,0.4774585107098455,0.852173924446106,0.5001821891121242
3,0.8771739,0.3820940598197605,0.8478260636329651,0.4462745091189509
4,0.8978261,0.31800146919229755,0.8782608509063721,0.3858642681785252
5,0.9217391,0.27313265100769374,0.8913043737411499,0.3554858153281005
6,0.9423913,0.2181235198741374,0.8913043737411499,0.3376407511856245
7,0.9478261,0.20097421563189963,0.904347836971283,0.3142218175141708
8,0.9576087,0.16073594601905863,0.904347836971283,0.3111977406170057
9,0.9673913,0.14886518192032108,0.895652174949646,0.3152545597242272
10,0.9652174,0.1392244352594666,0.904347836971283,0.2934358625308327
11,0.9717391,0.11673800073887991,0.8999999761581421,0.2680244381013124
12,0.9793478,0.10088232820448668,0.9130434989929199,0.2839000595652539
13,0.975,0.10383759008153626,0.8999999761581421,0.28621390254601187
14,0.9782609,0.08607662436754807,0.9217391014099121,0.26418312425198764
15,0.9804348,0.08066637274687705,0.9217391014099121,0.2572548993255781
16,0.99130434,0.06062487768738166,0.908695638179779,0.2742296067268952
17,0.98913044,0.06290225261903327,0.917391300201416,0.241730934381485
18,0.99347824,0.05286278586996638,0.895652174949646,0.2713946343116138
19,0.99891305,0.04244762575658767,0.8999999761581421,0.2511571258306503
20,0.99130434,0.049025716810770656,0.904347836971283,0.2481000302926354
21,0.9978261,0.03861936913884204,0.908695638179779,0.28207718224629114
22,0.9978261,0.03620897720203452,0.904347836971283,0.2634238002092942
