epoch,accuracy,loss,val_accuracy,val_loss
0,0.6195652,0.8781757644985033,0.800000011920929,0.6670594116915827
1,0.79891306,0.5604124014792236,0.856521725654602,0.49560421290604967
2,0.86630434,0.4309685118820356,0.8913043737411499,0.3871090150397757
3,0.90434784,0.32258353946001633,0.8913043737411499,0.3567872191252916
4,0.9217391,0.2689816960821981,0.9130434989929199,0.30410672957482543
5,0.9413043,0.22930769259515016,0.8999999761581421,0.30295240218224734
6,0.94673914,0.204474378409593,0.9217391014099121,0.25520632772342017
7,0.95869565,0.17220492544381516,0.9434782862663269,0.23122205397357112
8,0.96413046,0.1472969078499338,0.917391300201416,0.23916220269773317
9,0.9782609,0.11792295315991277,0.9434782862663269,0.2164509360557017
10,0.9880435,0.10395774426667587,0.939130425453186,0.21054552612097366
11,0.98913044,0.09316647571066151,0.9304347634315491,0.222085003749184
12,0.9836956,0.0852807803808347,0.947826087474823,0.185775006821622
13,0.9945652,0.06287383511662484,0.9521738886833191,0.18045934778840644
14,0.9902174,0.06464603196667588,0.9347826242446899,0.2195082365170769
15,0.9945652,0.055549522926625995,0.939130425453186,0.1765830842697102
16,0.99130434,0.052045873277213266,0.9434782862663269,0.18406813432988914
17,0.9902174,0.052258503032119374,0.926086962223053,0.23698733066735062
18,0.9978261,0.035458202643886855,0.960869550704956,0.15878201415357382
19,1.0,0.031000226541705752,0.95652174949646,0.1597617196324079
20,0.99673915,0.031126157332049764,0.95652174949646,0.15701777492852315
21,0.99891305,0.02338024679996559,0.95652174949646,0.1546414859107007
22,1.0,0.02138871274402608,0.9652174115180969,0.1540950544502424
23,0.99673915,0.02510138630219128,0.947826087474823,0.20792586259219958
24,1.0,0.020021350236366624,0.947826087474823,0.15845242601049983
25,0.99891305,0.020643122008313305,0.9434782862663269,0.1635478416862695
26,1.0,0.01406460840093053,0.9521738886833191,0.15388001529094966
27,1.0,0.015516231834645504,0.9434782862663269,0.16542975726011006
28,1.0,0.01310219182835325,0.939130425453186,0.1641255711083827
29,1.0,0.013238065341568512,0.9434782862663269,0.17295881514639957
30,0.99891305,0.012730289052200059,0.947826087474823,0.18402413095793
31,1.0,0.013153982784032174,0.9434782862663269,0.18932788062678732
0,0.6858696,0.7033222296963567,0.852173924446106,0.40427561505981113
1,0.88152176,0.30825803072556207,0.895652174949646,0.27146286653435747
2,0.94456524,0.17833732191635215,0.9347826242446899,0.19659994179787843
3,0.96630436,0.11292717677095662,0.960869550704956,0.14763983060484348
4,0.9793478,0.07899709572286709,0.9652174115180969,0.12818522791823614
5,0.99130434,0.054828864238832306,0.9739130139350891,0.10957328603481468
6,0.9956522,0.032099306891145915,0.9652174115180969,0.11778786573559046
7,1.0,0.019494598148309665,0.95652174949646,0.13389432173546242
8,1.0,0.01366446321911138,0.969565212726593,0.1254137990753288
9,0.99891305,0.01479326324213458,0.9652174115180969,0.09662461067428407
10,1.0,0.008665071019862334,0.969565212726593,0.10484233371022603
11,1.0,0.005083207276892727,0.969565212726593,0.10762973174493273
12,1.0,0.0038734278175979854,0.969565212726593,0.10233443189290879
13,1.0,0.0032647617176458565,0.969565212726593,0.10262673039637182
14,1.0,0.002626783759130732,0.9652174115180969,0.10637378038878997
